年份,合同名称,详情链接,签订时间,发布时间,采购人,供应商,合同编号,项目编号,采购人地址,采购人联系方式,供应商地址,供应商联系方式,主要标的名称,规格型号或服务要求,主要标的数量,主要标的单价,合同金额,履约期限和地点等简要信息,采购方式,所属地域,所属行业,代理机构,合同签订日期,合同公告日期,合同金额num_万元,id,采购人_纬度,采购人_经度,采购人_省,采购人_省代码,采购人_市,采购人_市代码,采购人_县,采购人_县代码,供应商_纬度,供应商_经度,供应商_省,供应商_省代码,供应商_市,供应商_市代码,供应商_县,供应商_县代码,text,ML预测,Claude_LLM分类,一致,LogisticRegression_预测,LinearSVC_预测,LinearSVC_C0.1_预测,LinearSVC_C10_预测,LogisticRegression_C10_预测,SGD_hinge_预测,SGD_log_预测,RandomForest_预测,RandomForest_200_预测,GradientBoosting_预测,MultinomialNB_预测
2012,中国人民政治协商会议甘肃省静宁县委员会采购饮水机,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa74cf155f0174d27e1658042f?contractSign=0,2012-08-17,2012-09-17,中国人民政治协商会议甘肃省静宁县委员会,静宁县百盛电器销售有限责任公司,2020.8.17,2020.8.17,无,无,无,无,静宁县2020年度政府采购协议供货,BMW-7S2,1台,699元,0.069900万元,整机保修一年,协议供货,,,,2012-08-17,2012-09-17,0.0699,922922.0,39.9693161480914,116.307129833923,北京市,110000.0,北京市,110000.0,海淀区,110108.0,35.5258649800177,105.727907355712,甘肃省,620000.0,平凉市,620800.0,静宁县,620826.0,中国人民政治协商会议甘肃省静宁县委员会 中国人民政治协商会议甘肃省静宁县委员会采购饮水机,协调能力,协调能力,True,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力
2012,重庆市政府采购货物购销合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a955b36d7e0155b4c3240800c5?contractSign=0,2012-05-31,2016-07-04,铜元局街道,重庆安普电器有限公司,16A0538,16A0538,,,,,,,,,0.410000万元,,,重庆市南岸区,其他电子产品零售,无,2012-05-31,2012-05-31,0.41,922923.0,29.5320686914644,106.541541853661,重庆市,500000.0,重庆市,500000.0,南岸区,500108.0,29.5655501395322,106.548283138871,重庆市,500000.0,重庆市,500000.0,渝中区,500103.0,铜元局街道 重庆市政府采购货物购销合同,协调能力,协调能力,True,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力
2012,车辆采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa75da646b0175dcc30e824cf4?contractSign=0,2012-01-06,2020-11-19,重庆市荣昌区环境保护局,重庆智萃科技有限公司,12A0048-01,12A0048,重庆市荣昌区昌州街道兴荣大厦19楼,46786577,重庆市九龙坡区渝州路8号16-2号,13101255251,商务车,GL82.4CT舒适版,1.00台,250000.0000,25.000000万元,详见合同附件,电子卖场,,,,2012-01-06,2020-11-19,25.0,922924.0,29.4173014050406,105.607274416333,重庆市,500000.0,重庆市,500000.0,荣昌区,500153.0,29.533813714281,106.479862672224,重庆市,500000.0,重庆市,500000.0,九龙坡区,500107.0,重庆市荣昌区环境保护局 车辆采购合同,协调能力,协调能力,True,合规能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,合规能力
2012,不动产登记中心采购电脑采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a975de9c070175e1e141bd6a13?contractSign=0,2012-03-09,2020-11-20,重庆市万盛经济技术开发区国土房管局,重庆正轩科技有限公司,20A0016-01,20A0016,万盛经开区万东北路57号,18725836338,重庆市万盛经开区万东北路143号1-25号,48335577,华硕,D324MT,6.00台,4100.0000,2.460000万元,详见合同附件,电子卖场,,,,2012-03-09,2020-11-20,2.46,922925.0,,,,,,,,,28.9551309251914,106.922201357776,重庆市,500000.0,重庆市,500000.0,綦江区,500110.0,重庆市万盛经济技术开发区国土房管局 不动产登记中心采购电脑采购合同,协调能力,协调能力,True,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,提取能力
2012,办公设备采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa7630819701763c025c9c7eb2?contractSign=0,2012-04-20,2020-12-07,平罗县司法局,平罗县卓美达高贸有限公司,20200611HT(SZS)000011,20200415JJ000007,平罗县政务服务中心9楼,09526093596,平罗县东一街南侧新百电器一楼,13909528727,执法记录仪,数字照相机-佳能单反EOSRP平板式微型计算机-华为平板M6移动存储设备--搜狗AI录像一体机--南京名都幻影录像一体机--哲林,20,1580,10.344000万元,合同签订后10日内供货，供货地点平罗县司法局,竞争性磋商,,,,2012-04-20,2020-12-07,10.344,922926.0,38.9147073136925,106.514780703498,宁夏回族自治区,640000.0,石嘴山市,640200.0,平罗县,640221.0,38.9036529879307,106.543258821194,宁夏回族自治区,640000.0,石嘴山市,640200.0,平罗县,640221.0,平罗县司法局 办公设备采购合同,合规能力,合规能力,True,合规能力,合规能力,合规能力,合规能力,合规能力,合规能力,合规能力,合规能力,合规能力,合规能力,合规能力
2012,报警对讲设备采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa7630819701763fbff9f101a6?contractSign=0,2012-03-09,2020-12-08,永荣中学,荣昌县金刚安防设备有限公司,12A0299-02,12A0299,重庆市荣昌区广顺街道成渝西路128号,13032312119,重庆市荣昌县,13883990030,TC100-XA,TC100-XA,1.00台,35380.0000,3.538000万元,详见合同附件,电子卖场,,,,2012-03-09,2020-12-08,3.538,922927.0,29.3712914437961,105.517507998109,重庆市,500000.0,重庆市,500000.0,荣昌区,500153.0,29.4079804338851,105.591651631313,重庆市,500000.0,重庆市,500000.0,荣昌区,500153.0,永荣中学 报警对讲设备采购合同,协调能力,协调能力,True,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力
2012,安防智能平台采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa7630819701763fbfdedf0182?contractSign=0,2012-05-04,2020-12-08,永荣中学,重庆市荣昌区鸿运办公设备有限公司,12A0302-01,12A0302,重庆市荣昌区广顺街道成渝西路128号,13032312119,重庆市荣昌区昌元街道后西一街147号,13752812948,大华,M245,1.00套,38025.0000,3.802500万元,详见合同附件,电子卖场,,,,2012-05-04,2020-12-08,3.8025,922928.0,29.3712914437961,105.517507998109,重庆市,500000.0,重庆市,500000.0,荣昌区,500153.0,29.4085067146742,105.588356765906,重庆市,500000.0,重庆市,500000.0,荣昌区,500153.0,永荣中学 安防智能平台采购合同,协调能力,协调能力,True,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力
2012,垫江县三溪镇卫生院中医馆整修工程采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382a97630813d017643c205c2165b?contractSign=0,2012-11-16,2020-12-09,重庆市垫江县三溪镇卫生院,重庆市丹瑞建筑工程有限公司,20B00067-01,20B00067,重庆市垫江县三溪镇街上,18996708390,重庆市垫江县,13056576865,垫江县三溪镇卫生院中医馆整修工程,项,1.00项,150000.0000,15.000000万元,详见合同附件,电子卖场,,,,2012-11-16,2020-12-09,15.0,922929.0,30.0621356176571,107.454542654679,重庆市,500000.0,重庆市,500000.0,垫江县,500231.0,30.3301264283959,107.328440334192,重庆市,500000.0,重庆市,500000.0,垫江县,500231.0,重庆市垫江县三溪镇卫生院 垫江县三溪镇卫生院中医馆整修工程采购合同,协调能力,协调能力,True,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力
2012,采煤沉限区受损农房等级复核鉴定开展采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa76610bf401767213171b0b36?contractSign=0,2012-06-27,2020-12-18,重庆市万盛经济技术开发区国土房管局,重庆地之源地质工程检测有限公司,20C0034-01,20C0034,万盛经开区万东北路57号,18723076663,重庆市九龙坡区含谷镇谷西街7#7-1-7#,13883080135,无,无,1.00项,255000.0000,25.500000万元,详见合同附件,竞争性谈判,,,,2012-06-27,2020-12-18,25.5,922930.0,,,,,,,,,29.5218406208819,106.364308032179,重庆市,500000.0,重庆市,500000.0,九龙坡区,500107.0,重庆市万盛经济技术开发区国土房管局 采煤沉限区受损农房等级复核鉴定开展采购合同,协调能力,协调能力,True,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,提取能力
2012,国土空间规划科购笔记本电脑采购合同,http://htgs.ccgp.gov.cn/GS8/contractpublish/detail/2c8382aa76610bf401768bd5bf53724b?contractSign=0,2012-07-30,2020-12-23,重庆市万盛经济技术开发区国土房管局,重庆市万盛经开区王凯电脑经营部,20A00103-01,20A00103,万盛经开区万东北路57号,13883479851,万盛区万东镇政府左侧第三间门面,02348271121,华为,MateBookXpro,1.00个,11000.0000,1.100000万元,详见合同附件,电子卖场,,,,2012-07-30,2020-12-23,1.1,922931.0,,,,,,,,,28.9582241092161,106.922446988774,重庆市,500000.0,重庆市,500000.0,綦江区,500110.0,重庆市万盛经济技术开发区国土房管局 国土空间规划科购笔记本电脑采购合同,协调能力,协调能力,True,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,协调能力,提取能力
